"filename", "language", "JavaScript", "JSON", "TypeScript", "Rust", "XML", "Markdown", "vue", "Shell Script", "C", "MS SQL", "Dotenv", "PostCSS", "comment", "blank", "total"
"/Users/user/Desktop/Struct/README.md", "Markdown", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 24, 93
"/Users/user/Desktop/Struct/STRUCT.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/user/Desktop/Struct/dummy-device.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -1, -1
"/Users/user/Desktop/Struct/ops/xdp/README.md", "Markdown", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 13, 42
"/Users/user/Desktop/Struct/ops/xdp/config.env", "Dotenv", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 7, 6, 18
"/Users/user/Desktop/Struct/ops/xdp/load.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 4, 11, 57
"/Users/user/Desktop/Struct/ops/xdp/struct_ingress_kern.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 21, 26, 133
"/Users/user/Desktop/Struct/ops/xdp/unload.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 5, 20
"/Users/user/Desktop/Struct/supabase/migrations/018_protocol_v2_security_billing.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 417, 0, 0, 7, 50, 474
"/Users/user/Desktop/Struct/tcp-server/auth.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 60
"/Users/user/Desktop/Struct/tcp-server/downlinks.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, 2, 22
"/Users/user/Desktop/Struct/tcp-server/ingest.js", "JavaScript", 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 42, 305
"/Users/user/Desktop/Struct/tcp-server/native-parser/build.rs", "Rust", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/user/Desktop/Struct/tcp-server/native-parser/index.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 9
"/Users/user/Desktop/Struct/tcp-server/native-parser/index.js", "JavaScript", 303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 318
"/Users/user/Desktop/Struct/tcp-server/native-parser/package-lock.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"/Users/user/Desktop/Struct/tcp-server/native-parser/package.json", "JSON", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"/Users/user/Desktop/Struct/tcp-server/native-parser/src/lib.rs", "Rust", 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 224
"/Users/user/Desktop/Struct/tcp-server/package.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/user/Desktop/Struct/tcp-server/parser-native.js", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 92
"/Users/user/Desktop/Struct/tcp-server/parser.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 52
"/Users/user/Desktop/Struct/tcp-server/protocol.js", "JavaScript", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 13, 120
"/Users/user/Desktop/Struct/tcp-server/server.js", "JavaScript", -128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -25, -163
"/Users/user/Desktop/Struct/tcp-server/test-parser-parity.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 96
"/Users/user/Desktop/Struct/tcp-server/test-parser.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 56
"/Users/user/Desktop/Struct/tcp-server/test-protocol.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 50
"/Users/user/Desktop/Struct/tcp-server/test-udp.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 86
"/Users/user/Desktop/Struct/tcp-server/udp.js", "JavaScript", 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 20, 134
"/Users/user/Desktop/Struct/web/app/assets/css/main.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, -1, -8
"/Users/user/Desktop/Struct/web/app/components/AppSidebar.vue", "vue", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 29
"/Users/user/Desktop/Struct/web/app/components/DeviceCredentialsModal.vue", "vue", 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 15, 143
"/Users/user/Desktop/Struct/web/app/components/LiveDebugger.vue", "vue", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 15
"/Users/user/Desktop/Struct/web/app/components/SchemaBuilder.vue", "vue", 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 7, 148
"/Users/user/Desktop/Struct/web/app/components/StructLogo.vue", "vue", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/user/Desktop/Struct/web/app/components/TelemetryChart.vue", "vue", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 2, 31
"/Users/user/Desktop/Struct/web/app/composables/useBilling.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/user/Desktop/Struct/web/app/composables/useBinaryParser.ts", "TypeScript", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 86
"/Users/user/Desktop/Struct/web/app/composables/useCppHeader.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 29
"/Users/user/Desktop/Struct/web/app/composables/useDevices.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/user/Desktop/Struct/web/app/composables/useOrganization.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"/Users/user/Desktop/Struct/web/app/layouts/auth.vue", "vue", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"/Users/user/Desktop/Struct/web/app/layouts/default.vue", "vue", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 31
"/Users/user/Desktop/Struct/web/app/middleware/auth.global.ts", "TypeScript", 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -5, -24
"/Users/user/Desktop/Struct/web/app/middleware/auth.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
